#options: 2560x1440 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2243 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:34.98 aq:26.36 tex:4045425 mv:580626 misc:6285 imb:14400 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:40.98 aq:37.87 tex:69 mv:71 misc:652 imb:0 pmb:9 smb:14391 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:40.98 aq:42.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:40.98 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:40.98 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:40.98 aq:36.79 tex:446 mv:151 misc:691 imb:0 pmb:19 smb:14381 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:40.98 aq:42.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:40.98 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:40.98 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:40.83 aq:37.56 tex:361 mv:89 misc:678 imb:0 pmb:14 smb:14386 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:40.90 aq:42.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:40.94 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:40.87 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:40.55 aq:35.59 tex:853 mv:240 misc:1163 imb:0 pmb:93 smb:14307 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:40.69 aq:42.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:40.76 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
